ID,Region,Industry Sector,Industry Category,Gas,Units,Magnitude,Amount
46,Auckland,"Electricity, gas, water, and waste services",Electricity generation and gas supply,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1141.46
47,Auckland,"Electricity, gas, water, and waste services",Electricity generation and gas supply,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,904.43
48,Auckland,"Electricity, gas, water, and waste services",Electricity generation and gas supply,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,901.49
49,Auckland,"Electricity, gas, water, and waste services",Electricity generation and gas supply,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,260.84
50,Auckland,"Electricity, gas, water, and waste services",Electricity generation and gas supply,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,256.17
51,Auckland,"Electricity, gas, water, and waste services",Electricity generation and gas supply,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,244.61
52,Auckland,"Electricity, gas, water, and waste services",Electricity generation and gas supply,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,278.04
53,Auckland,"Transport, postal, and warehousing","Road, rail, water, and other transport services",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,416.28
54,Auckland,"Transport, postal, and warehousing","Road, rail, water, and other transport services",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,420.69
55,Auckland,"Transport, postal, and warehousing","Road, rail, water, and other transport services",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,382.82
56,Auckland,"Transport, postal, and warehousing","Road, rail, water, and other transport services",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,380.94
57,Auckland,"Transport, postal, and warehousing","Road, rail, water, and other transport services",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,397.64
58,Auckland,"Transport, postal, and warehousing","Road, rail, water, and other transport services",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,389.02
59,Auckland,"Transport, postal, and warehousing","Road, rail, water, and other transport services",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,402.96
60,Auckland,"Transport, postal, and warehousing","Road, rail, water, and other transport services",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,401.07
61,Auckland,"Transport, postal, and warehousing","Road, rail, water, and other transport services",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,463.42
62,Auckland,"Transport, postal, and warehousing","Road, rail, water, and other transport services",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,438.83
