"","id","Data.source.citation","Species","Authority","Common.Name","Location.of.population","Country.list","Region","Are.coordinates.for.specific.location.","biome","realm","Units","Sampling.method","Data.transformed","year","pop","scalepop"
"15",14838,"DFO (2012). Recovery potential assessment for the south Newfoundland Atlantic salmon (Salmo salar) designatable unit. Can. Sci. Advis. Sec. Sci. Advis. Rep. 2012/007.","Salmo salar","Linnaeus, 1758","Atlantic salmon","South Newfoundland Designatable Unit 4, Newfoundland and Labrador","Canada","North America",FALSE,"Temperate coastal rivers","Nearctic","CPUE (rod days)","Collating data from monitoring facilities and recreational fisheries.","No",2008,0.16,0.375
"16",14838,"DFO (2012). Recovery potential assessment for the south Newfoundland Atlantic salmon (Salmo salar) designatable unit. Can. Sci. Advis. Sec. Sci. Advis. Rep. 2012/007.","Salmo salar","Linnaeus, 1758","Atlantic salmon","South Newfoundland Designatable Unit 4, Newfoundland and Labrador","Canada","North America",FALSE,"Temperate coastal rivers","Nearctic","CPUE (rod days)","Collating data from monitoring facilities and recreational fisheries.","No",2009,0.15,0.25
"17",14838,"DFO (2012). Recovery potential assessment for the south Newfoundland Atlantic salmon (Salmo salar) designatable unit. Can. Sci. Advis. Sec. Sci. Advis. Rep. 2012/007.","Salmo salar","Linnaeus, 1758","Atlantic salmon","South Newfoundland Designatable Unit 4, Newfoundland and Labrador","Canada","North America",FALSE,"Temperate coastal rivers","Nearctic","CPUE (rod days)","Collating data from monitoring facilities and recreational fisheries.","No",2010,0.19,0.75
"18",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1979,9.5,-1
"19",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1980,22.7,-0.491329479768786
"20",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1981,14.1,-0.822736030828516
"21",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1982,49.3,0.533718689788054
"22",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1983,48.8,0.514450867052023
"23",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1984,42.3,0.263969171483622
"24",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1985,58.1,0.872832369942197
"25",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1986,43.8,0.321772639691715
"26",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1987,41.9,0.248554913294798
"27",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1988,26.8,-0.333333333333333
"28",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1989,25,-0.402697495183044
"29",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1990,16.2,-0.741811175337187
"30",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1991,23,-0.479768786127168
